symbol|mcap_B|pe|pb|earnings_yield|fcf_yield|ev_ebitda|roe|roic|profit_margin|fcf_margin|debt_equity|piotroski_f|div_yield|payout_ratio|value_score|quality_score|income_score|total_score|roe_fy21|roe_fy22|roe_fy23|roe_fy24|roe_fy25|roe_avg|roe_cv|roic_fy21|roic_fy22|roic_fy23|roic_fy24|roic_fy25|roic_avg|roic_cv|roe_trend|roic_trend|fcf_fy21_M|fcf_fy22_M|fcf_fy23_M|fcf_fy24_M|fcf_fy25_M|fcf_avg_M|fcf_positive_count|fcf_trend|Revenue_fy21|Revenue_fy22|Revenue_fy23|Revenue_fy24|Revenue_fy25|COGS_fy21|COGS_fy22|COGS_fy23|COGS_fy24|COGS_fy25|GP_fy21|GP_fy22|GP_fy23|GP_fy24|GP_fy25|GrossMargin_fy21|GrossMargin_fy22|GrossMargin_fy23|GrossMargin_fy24|GrossMargin_fy25|OpIncome_fy21|OpIncome_fy22|OpIncome_fy23|OpIncome_fy24|OpIncome_fy25|OpMargin_fy21|OpMargin_fy22|OpMargin_fy23|OpMargin_fy24|OpMargin_fy25|EBIT_fy21|EBIT_fy22|EBIT_fy23|EBIT_fy24|EBIT_fy25|EBITDA_fy21|EBITDA_fy22|EBITDA_fy23|EBITDA_fy24|EBITDA_fy25|EBITDAMargin_fy21|EBITDAMargin_fy22|EBITDAMargin_fy23|EBITDAMargin_fy24|EBITDAMargin_fy25|EBT_fy21|EBT_fy22|EBT_fy23|EBT_fy24|EBT_fy25|TaxRate_fy21|TaxRate_fy22|TaxRate_fy23|TaxRate_fy24|TaxRate_fy25|NI_fy21|NI_fy22|NI_fy23|NI_fy24|NI_fy25|NPM_fy21|NPM_fy22|NPM_fy23|NPM_fy24|NPM_fy25|EPS_fy21|EPS_fy22|EPS_fy23|EPS_fy24|EPS_fy25|NIGrowth_fy21|NIGrowth_fy22|NIGrowth_fy23|NIGrowth_fy24|NIGrowth_fy25|IntExp_fy21|IntExp_fy22|IntExp_fy23|IntExp_fy24|IntExp_fy25|DA_fy21|DA_fy22|DA_fy23|DA_fy24|DA_fy25|Assets_fy21|Assets_fy22|Assets_fy23|Assets_fy24|Assets_fy25|Liab_fy21|Liab_fy22|Liab_fy23|Liab_fy24|Liab_fy25|Equity_fy21|Equity_fy22|Equity_fy23|Equity_fy24|Equity_fy25|Cash_fy21|Cash_fy22|Cash_fy23|Cash_fy24|Cash_fy25|Debt_fy21|Debt_fy22|Debt_fy23|Debt_fy24|Debt_fy25|LTDebt_fy21|LTDebt_fy22|LTDebt_fy23|LTDebt_fy24|LTDebt_fy25|NetDebt_fy21|NetDebt_fy22|NetDebt_fy23|NetDebt_fy24|NetDebt_fy25|BVPS_fy21|BVPS_fy22|BVPS_fy23|BVPS_fy24|BVPS_fy25|OCF_fy21|OCF_fy22|OCF_fy23|OCF_fy24|OCF_fy25|FCF_fy21|FCF_fy22|FCF_fy23|FCF_fy24|FCF_fy25|CapEx_fy21|CapEx_fy22|CapEx_fy23|CapEx_fy24|CapEx_fy25|DnA_fy21|DnA_fy22|DnA_fy23|DnA_fy24|DnA_fy25|dWC_fy21|dWC_fy22|dWC_fy23|dWC_fy24|dWC_fy25|NetCF_fy21|NetCF_fy22|NetCF_fy23|NetCF_fy24|NetCF_fy25|FinCF_fy21|FinCF_fy22|FinCF_fy23|FinCF_fy24|FinCF_fy25|InvCF_fy21|InvCF_fy22|InvCF_fy23|InvCF_fy24|InvCF_fy25|FCFMargin_fy21|FCFMargin_fy22|FCFMargin_fy23|FCFMargin_fy24|FCFMargin_fy25|ROE_fy21|ROE_fy22|ROE_fy23|ROE_fy24|ROE_fy25|ROA_fy21|ROA_fy22|ROA_fy23|ROA_fy24|ROA_fy25|ROIC_fy21|ROIC_fy22|ROIC_fy23|ROIC_fy24|ROIC_fy25|DERatio_fy21|DERatio_fy22|DERatio_fy23|DERatio_fy24|DERatio_fy25|NetDERatio_fy21|NetDERatio_fy22|NetDERatio_fy23|NetDERatio_fy24|NetDERatio_fy25
METCO|5.6|4.97|0.73|20.1|32.91|0.99|15.71|29.17|6.51|10.66|0.02|6.0|11.28|14.96|97|73|20|190|10.75|10.99|3.87|4.67|15.21|9.10|46.8|16.27|17.85|5.86|11.25|25.65|15.38|43.1|UP|UP|209|773|298|-92|1263|490|4|UP|17123000000|18705000000.0|18020000000.0|15958000000.0|17804000000.0|15601000000|16963000000.0|16575000000.0|14614000000.0|15557000000.0|1522000000|1742000000.0|1445000000.0|1344000000.0|2247000000.0|8.89|9.31|8.02|8.42|12.62|736180000.00|932700000.0|389650000.0|646100000.0|1445000000.0|4.30|4.99|2.16|4.05|8.12|736180000.00|932700000.0|389650000.0|646100000.0|1445000000.0|1146000000|1246000000.0|705330000.0|962670000.0|1767000000.0|6.69|6.66|3.91|6.03|9.93|760330000.00|920460000.0|394660000.0|369300000.0|1392000000.0|15.59|23.45|38.51|19.93|21.01|641780000.00|704640000.0|242680000.0|295690000.0|1100000000.0|3.75|3.77|1.35|1.85|6.18|30710000.00|33.72|11.61|14.15|52.63|156.52|9.79|-65.56|21.84|271.99|-6540000.00|-6910000.0|-10470000.0|-9540000.0|-7240000.0|409340000.00|313780000.0|315670000.0|316570000.0|322690000.0|8595000000|9837000000.0|9201000000.0|9033000000.0|10014000000.0|2623000000|3424000000.0|2926000000.0|2697000000.0|2784000000.0|5972000000|6413000000.0|6275000000.0|6336000000.0|7230000000.0|2427000000|2744000000.0|2529000000.0|1986000000.0|2959000000.0|274120000.00|330570000.0|342140000.0|250690000.0|178270000.0||||||2153000000|2413000000.0|2186000000.0|1735000000.0|2781000000.0|285.79|306.86|300.25|303.14|345.97|781110000.00|1053000000.0|550850000.0|126550000.0|1524000000.0|208720000.00|772980000.0|298160000.0|-91510000.0|1263000000.0|-572390000.00|-279960000.0|-252690000.0|-218060000.0|-260920000.00000003|409340000.00|421160000.0|437970000.0|440000000.0|435140000.0|-290520000.00|-190120000.0|-81640000.0|-783660000.0|-159150000.0|-91080000.00|316470000.0|-215000000.0|-542890000.0|973560000.0|-302870000.00|-411260000.0|-503680000.0|-342890000.0|-287310000.0|-580420000.00|-304290000.0|-273310000.0|-219640000.0|-269930000.0|1.22|4.13|1.65|-0.57|7.09|11.16|11.38|3.82|4.69|16.22|5.59|6.33|2.56|4.43|9.48|17.73|18.26|5.92|11.91|25.22|0.05|0.05|0.06|0.04|0.03|-0.36|-0.38|-0.35|-0.27|-0.38
SRICHA|5.0|5.19|2.44|19.26|20.52|3.14|61.69|106.18|34.49|36.73|0.18|7.0|6.21|0.0|86|87|15|188||2.76|6.88|-57.10|47.02|-0.11|999.0||3.88|12.78|-62.35|78.90|8.30|602.7|UP|UP||-56|366|-524|1024|203|2|UP||1592000000.0|2223000000.0|1855000000.0|2787000000.0||1321000000.0|1894000000.0|1615000000.0|1934000000.0||270630000.0|329220000.0|240210000.0|852850000.0||17.0|14.81|12.95|30.61||85630000.0|168630000.0|-772540000.0|1287000000.0||5.38|7.59|-41.65|46.2||85630000.0|168630000.0|-772540000.0|1287000000.0||115860000.0|200340000.0|-740430000.0|1324000000.0||7.28|9.01|-39.92|47.51||85670000.0|166270000.0|-760220000.0|1272000000.0||41.66|19.35||23.92||47360000.0|122790000.0|-625270000.0|961060000.0||2.97|5.52|-33.71|34.49||0.15|0.4|-2.02|3.1||-86.13|159.24||||-1170000.0|-5040000.0|-5330000.0|-13880000.0||30220000.0|31700000.0|32100000.0|36440000.0||2090000000.0|2512000000.0|2240000000.0|3689000000.0||374090000.0|725750000.0|1145000000.0|1645000000.0||1687000000.0|1747000000.0|1062000000.0|2008000000.0||463560000.0|783880000.0|238320000.0|1170000000.0||35970000.0|62220000.0|134520000.0|367010000.0||||33000000.0|75490000.0||433450000.0|741390000.0|122360000.0|823360000.0||5.45|5.64|3.43|6.48||-47180000.0|390690000.0|-493080000.0|1144000000.0||-56060000.0|366240000.0|-523919999.99999994|1024000000.0||-8880000.0|-24450000.0|-30840000.0|-120580000.0||39590000.0|39880000.0|42170000.0|49150000.0||-197870000.0|149360000.0|-580600000.0|407030000.0||-148170000.0|320320000.0|-545570000.0|932010000.0||-79370000.0|-43990000.0|-36550000.0|185570000.0||-6290000.0|-21050000.0|-37700000.0|-392900000.0||-3.52|16.48|-28.24|36.73||2.87|7.66|-42.81|61.69||2.51|4.58|-20.32|27.14||4.06|11.69|-76.6|89.33||0.02|0.04|0.12|0.18||-0.25|-0.41|-0.11|-0.4
AKP|0.3|4.02|0.41|24.88|22.61|1.56|10.68|6.89|17.98|16.34|0.04|6.0|6.48|20.95|100|64|20|184|7.92|4.85|2.77|5.66|10.28|6.30|41.1|5.89|3.20|2.52|5.27|5.65|4.51|30.5|UP|UP|65|26|11|52|65|44|5|flat|375270000.00|375140000.0|366910000.0|345640000.0|396910000.0|288560000.00|293450000.0|290470000.0|250850000.0|280550000.0|86710000.00|81700000.0|76440000.0|94790000.0|116360000.0|23.11|21.78|20.83|27.43|29.32|31120000.00|21110000.0|17680000.0|35120000.0|41220000.0|8.29|5.63|4.82|10.16|10.39|31120000.00|21110000.0|17680000.0|35120000.0|41220000.0|61320000.00|46950000.0|43180000.0|64430000.00000001|75640000.0|16.34|12.52|11.77|18.64|19.06|55670000.00|34830000.0|21160000.0|44480000.0|82390000.0|15.86|15.92|20.35|18.27|13.38|46840000.00|29290000.0|16860000.0|36350000.0|71360000.0|12.48|7.81|4.59|10.52|17.98|120000.00|0.07|0.04|0.09|0.18|35.18|-37.48|-42.45|115.68|96.3|-5020000.00|-4680000.0|-4150000.0000000005|-3520000.0|-3090000.0|30200000.0|25850000.0|25500000.0|29320000.0|34420000.0|724220000.00|727530000.0|716550000.0|744000000.0|808790000.0|132590000.00|124200000.0|106990000.0|101240000.0|114880000.0|591630000.00|603330000.0|609560000.0|642760000.0|693910000.0|210250000.00|105790000.0|97990000.0|136510000.0|89000000.0|63360000.00|56850000.0|47510000.0|38260000.0|26650000.0||||||146890000.00|148940000.0|150490000.0|200250000.0|102350000.0|1.46|1.49|1.51|1.59|1.72|86790000.00|45530000.0|38860000.0|73780000.0|76360000.0|64870000.00|26210000.0|11340000.0|52220000.0|64860000.0|-21920000.00|-19310000.0|-27520000.0|-21560000.0|-11490000.0|37000000|33189999.999999996|32890000.0|36700000.0|41810000.0|22140000.00|-7700000.0|-2370000.0|10510000.0|-13810000.0|51920000.00|-104460000.0|-7800000.0|40160000.0|-47510000.0|-19500000.0|-31520000.0|-22050000.0|-12580000.0|-28190000.0|-15370000.00|-118470000.0|-24610000.0|-21040000.0|-95680000.0|17.29|6.99|3.09|15.11|16.34|8.18|4.9|2.78|5.81|10.68|2.74|1.82|1.53|3.0|3.32|5.75|3.95|3.08|6.37|6.91|0.11|0.09|0.08|0.06|0.04|-0.25|-0.25|-0.25|-0.31|-0.15
SYNTEC|2.5|4.3|0.39|23.34|22.15|0.57|9.51|15.99|7.31|6.94|0.16|7.0|6.88|29.56|100|63|20|183|2.04|-6.32|3.29|8.49|9.03|3.31|167.8|1.28|-3.27|2.73|7.16|8.71|3.32|128.9|UP|UP|176|107|1878|276|560|599|5|UP|5309000000|5146000000.0|7430000000.0|8215000000.0|8077000000.0|4722000000|5037000000.0|6829000000.0|7238000000.0|6837000000.0|586860000.00|109370000.0|601510000.0|977010000.0|1240000000.0|11.05|2.13|8.1|11.89|15.35|193220000.00|-308800000.0|244560000.0|589180000.0|802990000.0|3.64|-6.0|3.29|7.17|9.94|193220000.00|-308800000.0|244560000.0|589180000.0|802990000.0|444450000.00|-62310000.0|443310000.0|757880000.0|979290000.0|8.37|-1.21|5.97|9.23|12.12|120120000.00|-409460000.0|175750000.0|615880000.0|752830000.0|46.79|||11.19|19.36|125230000.00|-367790000.0|191770000.0|529210000.00000006|590180000.0|2.36|-7.15|2.58|6.44|7.31|80000.00|-0.23|0.12|0.33|0.37|-47.78|||175.96|11.52|-75550000.00|-71910000.0|-83020000.0|-69040000.0|-51100000.0|251230000.00|246490000.0|198750000.0|168700000.0|176300000.0|9866000000|9756000000.0|10802000000.0|10696000000.0|10652000000.0|3715000000|3938000000.0|4968000000.0|4464000000.0|4113000000.0|5601000000|5293000000.0|5323000000.0|5705000000.0|6015000000.0|338280000.00|242790000.0|474630000.0|154420000.0|120830000.0|2222000000|1991000000.0|1805000000.0|1225000000.0|1016000000.0|1383000000|1324000000.0|1124000000.0|872080000.0|669290000.0|-297170000.00|43120000.0|1760000000.0|2262000000.0|2480000000.0|3.52|3.33|3.35|3.59|3.81|221730000.00|228450000.0|1974000000.0|428320000.0|663880000.0|175810000.00|106790000.0|1878000000.0|276190000.0|560280000.0|-45910000.00|-121670000.0|-95490000.0|-152130000.0|-103600000.0|337740000.00|322780000.0|245950000.0|205510000.0|210080000.0|-333430000.00|120910000.0|1652000000.0|-319440000.0|-272730000.0|-299780000.00|-95490000.0|231840000.0|-320210000.0|-33590000.0|-290900000.0|-191090000.0|-379830000.0|-466130000.0|-480290000.0|-230600000.0|-132850000.0|-1362000000.0|-280080000.0|-217190000.0|3.31|2.08|25.28|3.36|6.94|1.04|-6.83|3.08|9.06|9.51|1.18|-1.97|1.49|3.43|4.7|1.60|-5.05|4.97|13.01|16.13|0.36|0.34|0.31|0.2|0.16|0.05|-0.01|-0.3|-0.36|-0.38
STP|1.0|6.1|1.13|16.38|10.36|3.33|19.66|22.59|21.7|13.72|0.1|5.0|6.63|39.81|83|77|20|180||17.17|12.57|19.33|18.57|16.91|15.5||15.26|10.94|17.76|17.15|15.28|17.5|flat|UP||64|-85|112|105|49|3|UP||541580000.0|511930000.0|692110000.0|762540000.0||351770000.0|348140000.0|448860000.0|502050000.0||189800000.0|163790000.0|243240000.0|260490000.0||35.05|31.99|35.14|34.16||135710000.0|104440000.0|188020000.0|198460000.0||25.06|20.4|27.17|26.03||135710000.0|104440000.0|188020000.0|198460000.0||155650000.0|132930000.0|233720000.0|252760000.0||28.74|25.97|33.77|33.15||132320000.0|107870000.0|189780000.0|200290000.0||17.13|19.62|19.3|17.38||109650000.0|86710000.0|153140000.0|165490000.0||20.25|16.94|22.13|21.7||1.23|0.87|1.53|1.65||-11.42|-20.92|76.62|8.06||-5200000.0|-4099999.9999999995|-3700000.0|-3600000.0||19950000.0|28490000.0|45700000.0|54300000.0||843730000.0|878000000.0|975370000.0|1069000000.0||205130000.0|188310000.0|183030000.0|177500000.0||638600000.0|689690000.0|792340000.0|891500000.0||18890000.0|19090000.0|30420000.0|26580000.0||117110000.0|96420000.0|92460000.0|91140000.0||3970000.0|||||88410000.0|-51440000.0|125240000.0|154390000.0||6.39|6.9|7.92|8.91||154950000.0|80980000.0|173870000.0|213600000.0||63680000.0|-84620000.0|111860000.0|104630000.0||-91260000.0|-165600000.0|-62010000.0|-108960000.0||29980000.0|37950000.0|50710000.0|58240000.0||13870000.0|-51570000.0|-44960000.0|-14520000.0||-2890000.0|200000.0|11330000.0|-3840000.0||258260000.0|-61190000.0|-56780000.0|-70790000.0||-416100000.0|-19580000.0|-105750000.0|-146650000.0||11.76|-16.53|16.16|13.72||24.8|13.05|20.67|19.66||12.73|7.58|12.68|12.13||24.74|13.0|21.55|23.36||0.18|0.14|0.12|0.1||-0.14|0.08|-0.16|-0.17
BWG|1.9|3.75|0.27|24.07|16.79|3.94|11.83|6.07|16.29|11.36|0.17|8.0|2.59|None|100|71|8|179|-3.05|-2.68|-2.94|1.51|6.52|-0.13|999.0|1.12|0.52|0.91|4.69|6.00|2.65|84.9|UP|UP|586|85|-788|551|311|149|4|DOWN|2183000000|2503000000.0|2446000000.0|2605000000.0|2735000000.0|1705000000|2104000000.0|2046000000.0|1903000000.0|1936000000.0|477270000.00|399290000.0|400130000.0|702580000.0|798840000.0|21.87|15.95|16.36|26.97|29.21|84990000.00|41900000.0|85710000.0|351280000.0|399300000.0|3.89|1.67|3.5|13.48|14.6|84990000.00|41900000.0|85710000.0|351280000.0|399300000.0|541620000.00|475590000.0|540230000.0|837990000.0|914320000.0|24.81|19.0|22.08|32.17|33.43|-19160000.00|-38100000.0|-124820000.0|180040000.0|789860000.0||||7.41|3.88|-165530000.00|-144230000.0|-164620000.0|90660000.0|445480000.0|-7.58|-5.76|-6.73|3.48|16.29|-40000.00|-0.03|-0.03|0.02|0.08|||||391.37|-134270000.00|-121440000.0|-210530000.0|-203950000.0|-174580000.0|456630000.00|433690000.0|454520000.0|486710000.0|515020000.0|8322000000|8582000000.0|9945000000.0|10066000000.0|8927000000.0|2886000000|3202000000.0|4341000000.0|4065000000.0|2096000000.0|3679000000|3540000000.0|3740000000.0|4060000000.0|4585000000.0|1677000000|1513000000.0|1836000000.0|2535000000.0|1574000000.0|2321000000|2611000000.0|3747000000.0|3466000000.0|1143000000.0|684420000.00|1286000000.0|2506000000.0|1437000000.0|547990000.0|-644240000.00|-998280000.0|-1811000000.0|-828670000.0|470970000.0|0.81|0.78|0.76|0.75|0.79|704430000.00|254090000.0|327880000.0|966340000.0|933440000.0|585680000.00|84810000.0|-788400000.0|551260000.0|310650000.0|-118750000.00|-169280000.0|-1116000000.0|-415080000.0|-622800000.0|469420000.00|447020000.0|468270000.0|498500000.0|526000000.0|176280000.00|-266829999.99999997|-150000000.0|178820000.0|-40190000.0|-69150000.00|-164560000.0|322980000.0|727830000.0|-960920000.0|-532480000.00|26700000.0|1233000000.0|259870000.0|-2422000000.0|-241110000.00|-445350000.0|-1238000000.0|-479390000.0|527530000.0|26.83|3.39|-32.23|21.16|11.36|-0.61|-0.95|-2.47|2.87|11.83|0.62|0.31|0.58|2.19|2.63|1.36|0.67|1.24|4.57|5.82|0.43|0.49|0.67|0.58|0.17|0.12|0.19|0.32|0.14|-0.07
ROCK|0.2|3.69|0.46|27.13|39.12|4.0|12.92|8.36|7.19|10.37|0.48|6.0|9.01|33.21|98|58|20|176||-3.28|5.31|10.25|12.38|6.17|97.7||0.10|5.86|6.50|6.26|4.68|56.7|UP|UP||-34|82|-39|87|24|2|UP||609300000.0|650940000.0|743440000.0|837760000.0||432630000.0|407020000.0|467710000.0|537750000.0||176680000.0|243920000.0|275730000.0|300010000.0||29.0|37.47|37.09|35.81||710000.0|42040000.0|52190000.0|47520000.0||0.12|6.46|7.02|5.67||710000.0|42040000.0|52190000.0|47520000.0||23530000.0|64170000.0|75300000.0|69630000.0||3.86|9.86|10.13|8.31||-11850000.0|28270000.0|41320000.0|59760000.0|||27.12||||-12030000.0|20600000.0|45740000.0|60220000.0||-1.98|3.16|6.15|7.19||-0.6|1.03|2.29|3.01||||121.99|31.66||-11260000.0|-12330000.0|-13040000.0|-11940000.0||22820000.0|22130000.0|23110000.0|22110000.0||839990000.0|898540000.0|935090000.0|994690000.0||472920000.0|510890000.0|488930000.0|508310000.0||367070000.0|387650000.0|446160000.0|486380000.0||54960000.0|113840000.0|68950000.0|111890000.0||261709999.99999997|248590000.0|265300000.0|233060000.0||5150000.0|4410000.0|11030000.0|13760000.0||-177020000.0|-109640000.0|-170760000.0|-102780000.0||18.35|19.38|22.31|24.32||-14620000.0|100730000.0|-17260000.0|104740000.0||-33530000.0|81500000.0|-39470000.0|86850000.0||-18910000.0|-19230000.0|-22210000.0|-17890000.0||29650000.0|29780000.0|30950000.0|29370000.0||-31980000.0|46710000.0|-83540000.0|33400000.0||16810000.0|58880000.0|-44890000.0|42930000.0||37620000.0|-24450000.0|-840000.0|-54750000.0||-6190000.0|-17390000.0|-26790000.0|-7060000.0||-5.5|12.52|-5.31|10.37||-3.23|5.46|10.97|12.91||0.05|3.02|3.56|3.08||0.13|5.88|9.37|7.88||0.71|0.64|0.6|0.48||0.48|0.28|0.38|0.21
YUASA|1.6|6.61|1.15|15.14|14.97|2.55|18.6|37.24|9.17|9.06|0.0|6.0|6.06|26.99|83|69|20|172||10.71|11.15|14.12|17.47|13.36|20.3||17.83|14.32|25.99|36.70|23.71|36.3|UP|UP||83|-125|363|240|140|3|UP||2380000000.0|2452000000.0|2666000000.0|2649000000.0||1809000000.0|1844000000.0|1973000000.0|1855000000.0||570340000.0|608200000.0|693130000.0|793360000.0||23.97|24.81|26.0|29.95||140590000.0|155200000.0|201610000.0|275440000.0||5.91|6.33|7.56|10.4||140590000.0|155200000.0|201610000.0|275440000.0||191790000.0|209070000.0|259390000.0|343420000.0||8.06|8.53|9.73|12.97||139760000.0|154520000.0|201050000.0|274940000.0||21.71|20.38|14.24|11.7||109420000.0|123030000.0|172420000.0|242770000.0||4.6|5.02|6.47|9.16||1.02|1.14|1.6|2.26||12.01|12.44|40.15|40.8||-830000.0|-690000.0|-550000.0|-500000.0||51200000.0|53870000.0|57780000.0|67980000.0||1578000000.0|1600000000.0|1814000000.0|1958000000.0||555940000.0|497120000.0|593120000.0|568550000.0||1022060000.0|1102880000.0|1220880000.0|1389450000.0||414820000.0|247580000.0|562820000.0|733420000.0||9970000.0|7620000.0|7130000.0|6140000.0|||||||404850000.0|239960000.0|555690000.0|727280000.0||9.5|10.24|11.34|12.91||143020000.0|-24190000.0|458900000.0|301750000.0||82570000.0|-124770000.0|363390000.0|240070000.0||-60450000.0|-100570000.0|-95510000.0|-61670000.0||51200000.0|53870000.0|57780000.0|67980000.0||-38110000.0|-217450000.0|210490000.0|-30380000.0||52100000.0|-167230000.0|315230000.0|170600000.0||-35270000.0|-41290000.0|-48530000.0|-69730000.0||-55650000.0|-101750000.0|-95130000.0|-61420000.0||3.47|-5.09|13.63|9.06||11.15|11.58|14.84|18.6||5.77|6.1|7.38|9.13||18.37|16.7|22.64|36.64||0.01|0.01|0.01|0.0||-0.4|-0.22|-0.45|-0.52
WGE|0.4|2.81|0.84|35.58|92.53|1.25|35.3|44.97|5.79|15.07|0.34|8.0|None|None|94|78|0|172||-23.66|-74.43|14.65|30.00|-13.36|999.0||-16.67|-33.24|18.63|40.93|2.41|1205.3|UP|UP||-250|-139|128|389|32|2|UP||1655000000.0|1801000000.0|2311000000.0|2579000000.0||1716000000.0|1956000000.0|2066000000.0|2297000000.0||-61750000.0|-155460000.0|245190000.0|282270000.0||-3.73|-8.63|10.61|10.94||-142950000.0|-248780000.0|175390000.0|202740000.0||-8.64|-13.81|7.59|7.86||-142950000.0|-248780000.0|175390000.0|202740000.0||-110890000.0|-215240000.0|207440000.0|235080000.0||-6.7|-11.95|8.98|9.11||-147750000.0|-255520000.0|78150000.0|193360000.0||||34.62|22.71||-122350000.0|-221490000.0|51090000.0|149460000.0||-7.4|-12.3|2.21|5.79||-0.2|-0.37|0.09|0.25|||||192.52||-5130000.0|-7400000.0|-11260000.0|-10230000.0||32060000.000000004|33540000.0|32049999.999999996|32340000.000000004||1513000000.0|1574000000.0|1591000000.0|1490000000.0||995470000.0|1276000000.0|1242000000.0|991940000.0||517080000.00000006|297570000.0|348670000.0|498120000.0||130850000.0|104280000.0|42720000.0|284400000.0||299630000.0|405460000.0|309490000.0|169120000.0||57120000.0|37570000.0|92940000.0|73640000.0||-164620000.0|-301180000.0|-266769999.99999997|115280000.0||0.86|0.5|0.58|0.83||-169680000.0|-133740000.00000001|144010000.0|451130000.0||-249890000.0|-139420000.0|127880000.0|388640000.0||-80210000.0|-5680000.0|-16120000.000000002|-62500000.0||45300000.0|43870000.0|42790000.0|41310000.0||-100650000.0|-20120000.0|52400000.0|179510000.0||-218530000.0|-26570000.0|-61560000.0|241680000.0||29530000.0|99050000.0|-201510000.0|-149330000.0||-78380000.0|8119999.999999999|-4059999.9999999995|-60130000.0||-15.1|-7.74|5.53|15.07||-20.53|-54.38|15.81|35.3||-5.75|-10.08|6.93|8.23||-23.38|-38.86|18.89|31.39||0.58|1.36|0.89|0.34||0.32|1.01|0.77|-0.23
APP|0.8|7.64|1.78|13.09|24.91|2.65|25.19|302.03|9.24|17.59|0.04|6.0|8.1|34.96|78|73|20|171||13.44|14.21|17.52|23.36|17.13|22.8||24.41|27.03|51.20|127.61|57.56|72.6|UP|UP||13|43|62|198|79|4|UP||889700000.0|906100000.0|1022000000.0|1126000000.0||520320000.00000006|514100000.0|599510000.0|654260000.0||369380000.0|392000000.0|422100000.0|472110000.0||41.52|43.26|41.32|41.91||58600000.0|70140000.0|86490000.0|135720000.0||6.59|7.74|8.47|12.05||58600000.0|70140000.0|86490000.0|135720000.0||79000000.0|93780000.0|108080000.0|153940000.0||8.88|10.35|10.58|13.67||58150000.0|69380000.0|85350000.0|134560000.0||20.04|26.64|21.36|22.55||46470000.0|50720000.0|66870000.00000001|104120000.0||5.22|5.6|6.55|9.24||0.17|0.18|0.24|0.37||-20.5|9.14|31.84|55.69||-670000.0|-760000.0|-1140000.0|-1150000.0||20400000.0|23640000.0|21590000.0|18220000.0||772440000.0|792150000.0|898970000.0|981860000.0||426740000.0|435320000.0|517220000.0|536179999.99999994||345930000.0|356890000.0|381550000.0|444620000.0||166240000.0|184510000.0|263950000.0|380680000.0||12490000.0|18070000.0|15050000.0|17370000.0|||||||295560000.0|290950000.0|310560000.0|363320000.0||1.24|1.27|1.36|1.59||40480000.0|54820000.0|66790000.00000001|215090000.0||12690000.0|43280000.0|62120000.0|198100000.0||-27790000.0|-11540000.0|-4670000.0|-16990000.0||25350000.0|28700000.0|28470000.0|27540000.0||-32040000.0|-27040000.0|-21560000.0|64069999.99999999||-194590000.0|18280000.0|79440000.0|116730000.0||-61660000.0|-45350000.0|-49660000.0|-46340000.0||-172610000.0|9370000.0|62510000.0|-50170000.0||1.43|4.78|6.08|17.59||13.23|14.49|18.18|25.19||4.87|5.6|6.39|9.02||190.11|88.69|99.25|136.92||0.04|0.05|0.04|0.04||-0.85|-0.81|-0.81|-0.81
